Neighborhoods,Latitude,Longitude
Admiralenbuurt,52.369783,4.853039
Amsteldorp,52.34315495,4.930724546
Amsterdam Oud-West,52.36481465,4.86976193
Amsterdam Oud-Zuid,52.3391253,4.8661853
Amsterdam Science Park,52.352926,4.948315
Apollobuurt,52.3480726,4.875559012
Betondorp,52.3404634,4.9433026
Bijlmermeer,52.3170328,4.9649907
Binnenstad (Amsterdam),52.372,4.896
Bos en Lommer,52.3785206,4.8487385
Buiksloot,52.39256175,4.929278957
Buikslotermeer,52.39943875,4.943135136
Buitenveldert,52.3286468,4.8735234
Bullewijk,52.304056,4.9456557
Burgwallen Nieuwe Zijde,52.37370605,4.889922445
Burgwallen Oude Zijde,52.3719455,4.896102753
Chassébuurt,52.3671,4.8645
Cruquiuseiland,52.37039535,4.954211699
Czaar Peterbuurt,52.368889,4.927222
Dapperbuurt,52.3618056,4.927432548
De Aker,52.3506321,4.7831828
De Pijp,52.3542396,4.896946171
De Wallen,52.3734085,4.898273761
Diamantbuurt (Amsterdam),52.3508183,4.901833027
Duivelseiland (Amsterdam),52.3535099,4.884215287
Eastern Docklands,52.3746617,4.944209856
Eendracht (Amsterdam),52.380762,4.7904984
Floradorp,52.39853155,4.914831648
Frederik Hendrikbuurt,52.3769557,4.874084751
Gaasperdam,52.3075815,4.9715033
Geuzenveld,52.3783939,4.8016275
Gouden Reael,52.3881355,4.8900059
Grachtengordel,52.370837,4.885478191
Haarlemmerbuurt (Amsterdam),52.3824413,4.887193085
Hoofddorppleinbuurt,52.351111,4.849722
Houthaven,52.39337645,4.88168024
IJburg,52.3549938,4.9971565
Indische Buurt,52.36199475,4.93896941
Java-eiland,52.3782115,4.930814229
Jodenbuurt,52.369167,4.9025
Jordaan,52.3754157,4.8810958
Kadijken,52.3677527,4.919543395
Kadoelen,52.4164471,4.899303631
Kinkerbuurt,52.3691672,4.866649435
KNSM Island,52.3766658,4.942772357
Kolenkit District,52.378611,4.841389
Landelijk Noord,52.402222,4.974167
Landlust,52.3797753,4.858760089
Lastage,52.37125045,4.905507718
Middelveldsche Akerpolder,52.347,4.7883
Molenwijk (Amsterdam),52.4162443,4.8927544
Museumkwartier (Amsterdam),52.35576095,4.876834631
NDSM,52.40037365,4.89295388
Negen Straatjes,52.3705573,4.885456959
Nieuw Sloten,52.3465237,4.8115265
Nieuwe Pijp,52.3540694,4.8993483
Nieuwendam,52.3944725,4.953411577
Nieuwendammerdijk en Buiksloterdijk,52.3894,4.941
Olympisch Kwartier,52.34608395,4.85476785
Omval,52.3363,4.919
Oostelijke Eilanden,52.371869,4.922807072
Oosterdokseiland,52.37659135,4.907560405
Oosterparkbuurt (Amsterdam),52.3589151,4.913259687
Oostoever,52.366292,4.830367
Oostpoort,52.3571725,4.931122054
Oostzanerwerf,52.41948675,4.889508137
Osdorp,52.3566186,4.799164
Oud Osdorp,52.3675657,4.7846122
Oud-Oost,52.3601,4.9253
Oude Pijp,52.35521635,4.894573659
Overhoeks,52.38688415,4.90297612
Overtoombuurt,52.363,4.8715
Overtoomse Veld,52.3615406,4.8397511
Plantage,52.366405,4.913728577
Prinses Irenebuurt,52.3416,4.8689
Ransdorp,52.3937331,4.9946364
Rieteilanden,52.3541,4.9936
Rivierenbuurt (Amsterdam),52.34404,4.9036533
Ruigoord,52.4099167,4.7494222
Schellingwoude,52.3837449,4.9643217
Schinkelbuurt,52.35260635,4.854590985
Slotermeer,52.3779612,4.821952
Slotervaart (neighbourhood),52.3562,4.8273
Spaarndammerbuurt,52.3896626,4.879368926
Staatsliedenbuurt (Amsterdam),52.3802865,4.870950694
Stadionbuurt,52.3465311,4.862065826
Steigereiland,52.3623785,4.978976397
Teleport (Amsterdam),52.3874327,4.8317147
Transvaalbuurt (Amsterdam),52.35386365,4.920172387
Trompbuurt,52.372146,4.86027
Tuindorp Nieuwendam,52.39047045,4.94690096
Tuindorp Oostzaan,52.41279645,4.888052364
Uilenburg (Amsterdam),52.37062965,4.905215632
Venserpolder,52.3267669,4.9463398
Watergraafsmeer,52.349809,4.9382992
Waterwijk,52.383154,4.866455
Weesperzijde (Amsterdam),52.35394785,4.911977761
Westelijk Havengebied,52.4078,4.8022
Westelijke Eilanden (Amsterdam),52.3855,4.8892
Westelijke Tuinsteden,52.3558,4.8205
Westerpark (neighbourhood),52.3862,4.8747
Willemspark (Amsterdam),52.3552537,4.8683772
Zeeburgereiland,52.3726083,4.965545531
Zeeheldenbuurt,52.38932985,4.888242228
Zuidas,52.3377797,4.8734447
