Neighborhoods,Latitude,Longitude
110-Morgen,51.9624233,4.4916417
Afrikaanderwijk,51.9013745,4.5016269
Agniesebuurt,51.92965495,4.476273208
Bergpolder,51.9344934,4.4662801
Beverwaard,51.8943486,4.5705431
Blijdorp district,51.9304,4.4585
"Bloemhof, Rotterdam",51.8945699,4.4994572
Boomgaardshoek,51.8592776,4.3722703
Bospolder-Tussendijken,51.90895915,4.443669399
C.S. kwartier,51.9234763,4.471072
Carnisserbuurt,51.888,4.4794
Charlois,51.8835701,4.4778129
Cool (Rotterdam),51.9183186,4.476492698
Crooswijk,51.9259281,4.5082547
De Esch,51.9114818,4.521211
De Veranda,51.8973265,4.5209102
Dijkzigt,51.9122032,4.471014444
Feijenoord (neighbourhood),51.8949,4.5139
Groenenhagen-Tuinenhoven,51.890921,4.5521716
Groot-IJsselmonde,51.8853526,4.5433816
Heijplaat,51.8912193,4.4219112
Het Lage Land,51.9437662,4.5445502
Hillegersberg,51.9549095,4.4928642
Hillesluis,51.8932614,4.5123583
Homerusbuurt,51.8747195,4.5326257
Hordijkerveld,51.8785625,4.5456902
Kandelaar,51.9570999,4.3974264
Karl Marxbuurt,51.8777397,4.5200172
Katendrecht,51.9008921,4.4813723
Kiefhoek,51.893333,4.506111
Kleinpolder,51.9354519,4.4329789
Kleiwegkwartier,51.9452317,4.4749672
Kop van Zuid,51.9072501,4.4969364
Kralingen,51.9259281,4.5082547
Kralingseveer,51.9116205,4.555328335
Kreekhuizen,51.8843027,4.534143
Landzicht,51.9454386,4.43021
Liskwartier,51.9381672,4.4742249
Lloydkwartier,51.9047635,4.4610836
Lombardijen,51.8776807,4.5210899
Meeuwenplaat,51.8561894,4.3553895
Middelland,51.9166547,4.4579139
Middengebied,51.863333,4.362222
Millinxbuurt,51.8913,4.4926
Molenlaankwartier,51.9608624,4.5056517
Molièrebuurt,51.8735563,4.5203149
Nesselande,51.9823905,4.587808
Nieuw Engeland,51.8715517,4.3508094
Nieuw-Mathenesse,51.9101591,4.4259453
Nieuwe Westen,51.91551235,4.450075678
Nooddorp,52.0224506,4.3693852
Noordereiland,51.9136,4.4958
Ommoord,51.9619323,4.5479897
Oosterflank,51.9462748,4.5630047
Oud-Charlois,51.8889051,4.4662916
Oud-IJsselmonde,51.89882565,4.536927017
Oud-Mathenesse,51.9165476,4.4209083
Oude Noorden,51.934747,4.4819203
Oude Westen,51.9180447,4.4662523
Oudeland,51.8698923,4.3616584
Overschie,51.9402549,4.4221821
Pendrecht,51.8727423,4.4700254
Prinsenland,51.9312409,4.5514671
Provenierswijk,51.92818215,4.469972601
Reyeroord,51.881079,4.5553405
Rubroek,51.926667,4.489444
Sagenbuurt,51.899722,4.550278
Scheepvaartkwartier,51.9092,4.4787
Schiebroek,51.9604832,4.469536
Schiemond,51.9028274,4.450577111
Smeetsland,51.88018495,4.519169361
Spaanse Polder,51.92981115,4.409066044
Spangen,51.9163,4.4397
Sportdorp,51.8920859,4.5350494
Stadsdriehoek,51.9217682,4.4866893
Struisenburg,51.91898345,4.507834236
Tarwewijk,51.8932561,4.4843942
Terbregge,51.9556356,4.5193966
Varenbuurt,51.958889,4.528056
Vondelingenplaat,51.88571145,4.352514869
Vreewijk,51.8871414,4.5064915
Waalhaven district,51.8782,4.4331
Westpunt (Rotterdam),51.8657875,4.3457582
Wielewaal,51.8809039,4.4611974
Witte Dorp,51.9149941,4.4253839
Zalmplaat,51.8513995,4.3689476
Zenobuurt,51.8802984,4.525938448
Zestienhoven (district),51.9535,4.4504
Zevenkamp,51.9663392,4.5734192
Zomerland,51.8945642,4.5426667
